Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-06-08 01:15:33,Pengguna Google,5,"kalo main seru apalagi ws,tapi sekalinya ls bakal terus ls😔",kalo main seru apalagi wstapi sekalinya ls bakal terus ls,kalo main seru apalagi wstapi sekalinya ls bakal terus ls,kalau main seru apalagi wstapi sekalinya ls bakal terus ls,"['kalau', 'main', 'seru', 'apalagi', 'wstapi', 'sekalinya', 'ls', 'bakal', 'terus', 'ls']","['main', 'seru', 'wstapi', 'sekalinya', 'ls', 'ls']",main seru wstapi sekali ls ls
2025-06-08 01:14:53,Pengguna Google,5,nice montoon☺️🌹,nice montoon,nice montoon,nice montoon,"['nice', 'montoon']","['nice', 'montoon']",nice montoon
2025-06-08 01:13:19,Pengguna Google,1,ml semakin lama semakin ngelek jadi hp kentang tidak bisa main,ml semakin lama semakin ngelek jadi hp kentang tidak bisa main,ml semakin lama semakin ngelek jadi hp kentang tidak bisa main,ml semakin lama semakin ngelek jadi hp kentang tidak bisa main,"['ml', 'semakin', 'lama', 'semakin', 'ngelek', 'jadi', 'hp', 'kentang', 'tidak', 'bisa', 'main']","['ml', 'ngelek', 'hp', 'kentang', 'main']",ml ngelek hp kentang main
2025-06-08 01:11:02,Pengguna Google,1,game nya ngeleg,game nya ngeleg,game nya ngeleg,game ya ngeleg,"['game', 'ya', 'ngeleg']","['game', 'ya', 'ngeleg']",game ya ngeleg
2025-06-08 01:07:16,Pengguna Google,5,Bagus banget gem nya gua kasih bintang 5,Bagus banget gem nya gua kasih bintang ,bagus banget gem nya gua kasih bintang ,bagus banget gem ya gua kasih bintang,"['bagus', 'banget', 'gem', 'ya', 'gua', 'kasih', 'bintang']","['bagus', 'banget', 'gem', 'ya', 'gua', 'kasih', 'bintang']",bagus banget gem ya gua kasih bintang
2025-06-08 01:06:44,Pengguna Google,1,GAME APA NIH COK NGGAK JELAS BANGET NIH,GAME APA NIH COK NGGAK JELAS BANGET NIH,game apa nih cok nggak jelas banget nih,game apa nih cok tidak jelas banget nih,"['game', 'apa', 'nih', 'cok', 'tidak', 'jelas', 'banget', 'nih']","['game', 'nih', 'cok', 'banget', 'nih']",game nih cok banget nih
2025-06-08 01:05:03,Pengguna Google,1,game nya jelek tim nya sark sistem gw sering kalah mulu pokok nya ini game jlek bgn tolong bikin fitur kalo kalah dan saya mvp tolong bintang dinaikin soal nya saya trs yg dapat mvp dn kalah jdi bintang saya turun tolong bukain fitur seperti itu ya👍👍👍👍👎👎👎👎,game nya jelek tim nya sark sistem gw sering kalah mulu pokok nya ini game jlek bgn tolong bikin fitur kalo kalah dan saya mvp tolong bintang dinaikin soal nya saya trs yg dapat mvp dn kalah jdi bintang saya turun tolong bukain fitur seperti itu ya,game nya jelek tim nya sark sistem gw sering kalah mulu pokok nya ini game jlek bgn tolong bikin fitur kalo kalah dan saya mvp tolong bintang dinaikin soal nya saya trs yg dapat mvp dn kalah jdi bintang saya turun tolong bukain fitur seperti itu ya,game ya jelek tim ya sark sistem gue sering kalah mulu pokok ya ini game jelek bgn tolong bikin fitur kalau kalah dan saya mvp tolong bintang dinaikin soal ya saya terus yang dapat mvp dan kalah jadi bintang saya turun tolong bukain fitur seperti itu ya,"['game', 'ya', 'jelek', 'tim', 'ya', 'sark', 'sistem', 'gue', 'sering', 'kalah', 'mulu', 'pokok', 'ya', 'ini', 'game', 'jelek', 'bgn', 'tolong', 'bikin', 'fitur', 'kalau', 'kalah', 'dan', 'saya', 'mvp', 'tolong', 'bintang', 'dinaikin', 'soal', 'ya', 'saya', 'terus', 'yang', 'dapat', 'mvp', 'dan', 'kalah', 'jadi', 'bintang', 'saya', 'turun', 'tolong', 'bukain', 'fitur', 'seperti', 'itu', 'ya']","['game', 'ya', 'jelek', 'tim', 'ya', 'sark', 'sistem', 'gue', 'kalah', 'mulu', 'pokok', 'ya', 'game', 'jelek', 'bgn', 'tolong', 'bikin', 'fitur', 'kalah', 'mvp', 'tolong', 'bintang', 'dinaikin', 'ya', 'mvp', 'kalah', 'bintang', 'turun', 'tolong', 'bukain', 'fitur', 'ya']",game ya jelek tim ya sark sistem gue kalah mulu pokok ya game jelek bgn tolong bikin fitur kalah mvp tolong bintang dinaikin ya mvp kalah bintang turun tolong bukain fitur ya
2025-06-08 01:05:03,Pengguna Google,2,"saya capee setiap main jaringan bagus tapi leg, terus pas main gamee ketemu tim yang ga bisa main saya uda lose sebanyak 12 kali karna timm ga bener tolong monton kasi tim yang ebneerr, perbaiki lagi kalau update,soal angelaa annual saya gamau dispin banyak player player yang uda nabung buat angela ayok la monton jangan terlalu kikir",saya capee setiap main jaringan bagus tapi leg terus pas main gamee ketemu tim yang ga bisa main saya uda lose sebanyak  kali karna timm ga bener tolong monton kasi tim yang ebneerr perbaiki lagi kalau updatesoal angelaa annual saya gamau dispin banyak player player yang uda nabung buat angela ayok la monton jangan terlalu kikir,saya capee setiap main jaringan bagus tapi leg terus pas main gamee ketemu tim yang ga bisa main saya uda lose sebanyak  kali karna timm ga bener tolong monton kasi tim yang ebneerr perbaiki lagi kalau updatesoal angelaa annual saya gamau dispin banyak player player yang uda nabung buat angela ayok la monton jangan terlalu kikir,saya cape setiap main jaringan bagus tapi leg terus pas main gamee ketemu tim yang tidak bisa main saya sudah lose sebanyak kali karena timm tidak benar tolong monton kasih tim yang ebneerr perbaiki lagi kalau updatesoal angelaa annual saya dispin banyak player player yang sudah nabung buat angela ayok lah monton jangan terlalu kikir,"['saya', 'cape', 'setiap', 'main', 'jaringan', 'bagus', 'tapi', 'leg', 'terus', 'pas', 'main', 'gamee', 'ketemu', 'tim', 'yang', 'tidak', 'bisa', 'main', 'saya', 'sudah', 'lose', 'sebanyak', 'kali', 'karena', 'timm', 'tidak', 'benar', 'tolong', 'monton', 'kasih', 'tim', 'yang', 'ebneerr', 'perbaiki', 'lagi', 'kalau', 'updatesoal', 'angelaa', 'annual', 'saya', 'dispin', 'banyak', 'player', 'player', 'yang', 'sudah', 'nabung', 'buat', 'angela', 'ayok', 'lah', 'monton', 'jangan', 'terlalu', 'kikir']","['cape', 'main', 'jaringan', 'bagus', 'leg', 'pas', 'main', 'gamee', 'ketemu', 'tim', 'main', 'lose', 'kali', 'timm', 'tolong', 'monton', 'kasih', 'tim', 'ebneerr', 'perbaiki', 'updatesoal', 'angelaa', 'annual', 'dispin', 'player', 'player', 'nabung', 'angela', 'ayok', 'monton', 'kikir']",cape main jaring bagus leg pas main gamee ketemu tim main lose kali timm tolong monton kasih tim ebneerr baik updatesoal angelaa annual dispin player player nabung angela ayok monton kikir
2025-06-08 01:03:06,Pengguna Google,5,mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap
2025-06-08 01:00:34,Pengguna Google,1,moonton tuh jahat Cok males gw lose streak aja niat GK sih bikin game?,moonton tuh jahat Cok males gw lose streak aja niat GK sih bikin game,moonton tuh jahat cok males gw lose streak aja niat gk sih bikin game,moonton tuh jahat cok malas gue lose streak saja niat tidak sih bikin game,"['moonton', 'tuh', 'jahat', 'cok', 'malas', 'gue', 'lose', 'streak', 'saja', 'niat', 'tidak', 'sih', 'bikin', 'game']","['moonton', 'tuh', 'jahat', 'cok', 'malas', 'gue', 'lose', 'streak', 'niat', 'sih', 'bikin', 'game']",moonton tuh jahat cok malas gue lose streak niat sih bikin game
2025-06-08 00:59:44,Pengguna Google,4,"hehe, bintang 4 lah dulu soalnya gatau bisa ambil apa ga angela nya",hehe bintang  lah dulu soalnya gatau bisa ambil apa ga angela nya,hehe bintang  lah dulu soalnya gatau bisa ambil apa ga angela nya,hehe bintang lah dulu soalnya bisa ambil apa tidak angela ya,"['hehe', 'bintang', 'lah', 'dulu', 'soalnya', 'bisa', 'ambil', 'apa', 'tidak', 'angela', 'ya']","['hehe', 'bintang', 'ambil', 'angela', 'ya']",hehe bintang ambil angela ya
2025-06-08 00:58:33,Pengguna Google,1,"1 bintang buat lu kayak binatang yg buat gem , kasih tim serius napa lu bayangin aja gw 2 hari ga tidur pekara ini gem ngotak dikit napa kasih tim yang ada ga naik turun bnyk iya tolol monton anj ngotak napa kasih tim kek anj lu kasih tim main menang kalah menang kalah kek mana mau naik hp gw pecah² gara² game lu anj kalo kash tim bener dikit napa kalo lu mau ban aku gw ban aja gara² gw ngomong gini ga duli anj berenti gw main game lu ada dendam apa ma gw ha kasih tim kek anj nih nic gw øxy. cri", bintang buat lu kayak binatang yg buat gem  kasih tim serius napa lu bayangin aja gw  hari ga tidur pekara ini gem ngotak dikit napa kasih tim yang ada ga naik turun bnyk iya tolol monton anj ngotak napa kasih tim kek anj lu kasih tim main menang kalah menang kalah kek mana mau naik hp gw pecah gara game lu anj kalo kash tim bener dikit napa kalo lu mau ban aku gw ban aja gara gw ngomong gini ga duli anj berenti gw main game lu ada dendam apa ma gw ha kasih tim kek anj nih nic gw xy cri, bintang buat lu kayak binatang yg buat gem  kasih tim serius napa lu bayangin aja gw  hari ga tidur pekara ini gem ngotak dikit napa kasih tim yang ada ga naik turun bnyk iya tolol monton anj ngotak napa kasih tim kek anj lu kasih tim main menang kalah menang kalah kek mana mau naik hp gw pecah gara game lu anj kalo kash tim bener dikit napa kalo lu mau ban aku gw ban aja gara gw ngomong gini ga duli anj berenti gw main game lu ada dendam apa ma gw ha kasih tim kek anj nih nic gw xy cri,bintang buat kamu kayak binatang yang buat gem kasih tim serius kenapa kamu bayangkan saja gue hari tidak tidur pekara ini gem ngotak dikit kenapa kasih tim yang ada tidak naik turun banyak iya tolol monton anjing ngotak kenapa kasih tim kayak anjing kamu kasih tim main menang kalah menang kalah kayak mana mau naik hp gue pecah gara game kamu anjing kalau kash tim benar dikit kenapa kalau kamu mau ban aku gue ban saja gara gue mengomong begini tidak duli anjing berenti gue main game kamu ada dendam apa sama gue ha kasih tim kayak anjing nih nic gue xy cari,"['bintang', 'buat', 'kamu', 'kayak', 'binatang', 'yang', 'buat', 'gem', 'kasih', 'tim', 'serius', 'kenapa', 'kamu', 'bayangkan', 'saja', 'gue', 'hari', 'tidak', 'tidur', 'pekara', 'ini', 'gem', 'ngotak', 'dikit', 'kenapa', 'kasih', 'tim', 'yang', 'ada', 'tidak', 'naik', 'turun', 'banyak', 'iya', 'tolol', 'monton', 'anjing', 'ngotak', 'kenapa', 'kasih', 'tim', 'kayak', 'anjing', 'kamu', 'kasih', 'tim', 'main', 'menang', 'kalah', 'menang', 'kalah', 'kayak', 'mana', 'mau', 'naik', 'hp', 'gue', 'pecah', 'gara', 'game', 'kamu', 'anjing', 'kalau', 'kash', 'tim', 'benar', 'dikit', 'kenapa', 'kalau', 'kamu', 'mau', 'ban', 'aku', 'gue', 'ban', 'saja', 'gara', 'gue', 'mengomong', 'begini', 'tidak', 'duli', 'anjing', 'berenti', 'gue', 'main', 'game', 'kamu', 'ada', 'dendam', 'apa', 'sama', 'gue', 'ha', 'kasih', 'tim', 'kayak', 'anjing', 'nih', 'nic', 'gue', 'xy', 'cari']","['bintang', 'kayak', 'binatang', 'gem', 'kasih', 'tim', 'serius', 'bayangkan', 'gue', 'tidur', 'pekara', 'gem', 'ngotak', 'dikit', 'kasih', 'tim', 'turun', 'iya', 'tolol', 'monton', 'anjing', 'ngotak', 'kasih', 'tim', 'kayak', 'anjing', 'kasih', 'tim', 'main', 'menang', 'kalah', 'menang', 'kalah', 'kayak', 'hp', 'gue', 'pecah', 'gara', 'game', 'anjing', 'kash', 'tim', 'dikit', 'ban', 'gue', 'ban', 'gara', 'gue', 'mengomong', 'duli', 'anjing', 'berenti', 'gue', 'main', 'game', 'dendam', 'gue', 'ha', 'kasih', 'tim', 'kayak', 'anjing', 'nih', 'nic', 'gue', 'xy', 'cari']",bintang kayak binatang gem kasih tim serius bayang gue tidur kara gem ngotak dikit kasih tim turun iya tolol monton anjing ngotak kasih tim kayak anjing kasih tim main menang kalah menang kalah kayak hp gue pecah gara game anjing kash tim dikit ban gue ban gara gue omong duli anjing renti gue main game dendam gue ha kasih tim kayak anjing nih nic gue xy cari
2025-06-08 00:57:13,Pengguna Google,5,seruuuu,seruuuu,seruuuu,seruuuu,['seruuuu'],['seruuuu'],seruuuu
2025-06-08 00:56:49,Pengguna Google,5,saya senang,saya senang,saya senang,saya senang,"['saya', 'senang']",['senang'],senang
2025-06-08 00:56:39,Pengguna Google,5,game yg sangat buruk moonton babi 🐷 emang dah jaringan buruk waktu main di aplikasi lain padahal jaringan nya bagus moonton moonton tolong perbaiki jaringan nya ya,game yg sangat buruk moonton babi  emang dah jaringan buruk waktu main di aplikasi lain padahal jaringan nya bagus moonton moonton tolong perbaiki jaringan nya ya,game yg sangat buruk moonton babi  emang dah jaringan buruk waktu main di aplikasi lain padahal jaringan nya bagus moonton moonton tolong perbaiki jaringan nya ya,game yang sangat buruk moonton babi memang sudah jaringan buruk waktu main di aplikasi lain padahal jaringan ya bagus moonton moonton tolong perbaiki jaringan ya ya,"['game', 'yang', 'sangat', 'buruk', 'moonton', 'babi', 'memang', 'sudah', 'jaringan', 'buruk', 'waktu', 'main', 'di', 'aplikasi', 'lain', 'padahal', 'jaringan', 'ya', 'bagus', 'moonton', 'moonton', 'tolong', 'perbaiki', 'jaringan', 'ya', 'ya']","['game', 'buruk', 'moonton', 'babi', 'jaringan', 'buruk', 'main', 'aplikasi', 'jaringan', 'ya', 'bagus', 'moonton', 'moonton', 'tolong', 'perbaiki', 'jaringan', 'ya', 'ya']",game buruk moonton babi jaring buruk main aplikasi jaring ya bagus moonton moonton tolong baik jaring ya ya
2025-06-08 00:56:11,Pengguna Google,1,game toxic seharusnya kalo ada orang yang toxic kredit skore direndahkan 10 kredit skore cepat kalo gak aku kasih bintang satu cepat,game toxic seharusnya kalo ada orang yang toxic kredit skore direndahkan  kredit skore cepat kalo gak aku kasih bintang satu cepat,game toxic seharusnya kalo ada orang yang toxic kredit skore direndahkan  kredit skore cepat kalo gak aku kasih bintang satu cepat,game toxic seharusnya kalau ada orang yang toxic kredit skore direndahkan kredit skore cepat kalau tidak aku kasih bintang satu cepat,"['game', 'toxic', 'seharusnya', 'kalau', 'ada', 'orang', 'yang', 'toxic', 'kredit', 'skore', 'direndahkan', 'kredit', 'skore', 'cepat', 'kalau', 'tidak', 'aku', 'kasih', 'bintang', 'satu', 'cepat']","['game', 'toxic', 'orang', 'toxic', 'kredit', 'skore', 'direndahkan', 'kredit', 'skore', 'cepat', 'kasih', 'bintang', 'cepat']",game toxic orang toxic kredit skore rendah kredit skore cepat kasih bintang cepat
2025-06-08 00:54:41,Pengguna Google,4,kasih aku menang lah Moonton aku pengen menang😭😭,kasih aku menang lah Moonton aku pengen menang,kasih aku menang lah moonton aku pengen menang,kasih aku menang lah moonton aku pengin menang,"['kasih', 'aku', 'menang', 'lah', 'moonton', 'aku', 'pengin', 'menang']","['kasih', 'menang', 'moonton', 'pengin', 'menang']",kasih menang moonton pengin menang
2025-06-08 00:53:57,Pengguna Google,5,game ini sangat bagus,game ini sangat bagus,game ini sangat bagus,game ini sangat bagus,"['game', 'ini', 'sangat', 'bagus']","['game', 'bagus']",game bagus
2025-06-08 00:53:25,Pengguna Google,2,bilangin lah dark sistem nyusahin kita doang,bilangin lah dark sistem nyusahin kita doang,bilangin lah dark sistem nyusahin kita doang,bilang lah dark sistem menyusahkan kita doang,"['bilang', 'lah', 'dark', 'sistem', 'menyusahkan', 'kita', 'doang']","['bilang', 'dark', 'sistem', 'menyusahkan', 'doang']",bilang dark sistem susah doang
2025-06-08 00:52:51,Pengguna Google,1,game banyak dark system bikin stress,game banyak dark system bikin stress,game banyak dark system bikin stress,game banyak dark system bikin stres,"['game', 'banyak', 'dark', 'system', 'bikin', 'stres']","['game', 'dark', 'system', 'bikin', 'stres']",game dark system bikin stres
2025-06-08 00:51:55,Pengguna Google,1,dapat tim ngetroll terus ga bisa main Hero layla lu benerin lah jing jarak nya jauh banget,dapat tim ngetroll terus ga bisa main Hero layla lu benerin lah jing jarak nya jauh banget,dapat tim ngetroll terus ga bisa main hero layla lu benerin lah jing jarak nya jauh banget,dapat tim ngetroll terus tidak bisa main hero layla kamu benerin lah anjing jarak ya jauh banget,"['dapat', 'tim', 'ngetroll', 'terus', 'tidak', 'bisa', 'main', 'hero', 'layla', 'kamu', 'benerin', 'lah', 'anjing', 'jarak', 'ya', 'jauh', 'banget']","['tim', 'ngetroll', 'main', 'hero', 'layla', 'benerin', 'anjing', 'jarak', 'ya', 'banget']",tim ngetroll main hero layla benerin anjing jarak ya banget
2025-06-08 00:48:03,Pengguna Google,1,Tolong adakan fitur bikin akun baru lah,Tolong adakan fitur bikin akun baru lah,tolong adakan fitur bikin akun baru lah,tolong adakan fitur bikin akun baru lah,"['tolong', 'adakan', 'fitur', 'bikin', 'akun', 'baru', 'lah']","['tolong', 'adakan', 'fitur', 'bikin', 'akun']",tolong adakan fitur bikin akun
2025-06-08 00:47:49,Pengguna Google,4,sangat menyenangkan sangat menyenangkan,sangat menyenangkan sangat menyenangkan,sangat menyenangkan sangat menyenangkan,sangat menyenangkan sangat menyenangkan,"['sangat', 'menyenangkan', 'sangat', 'menyenangkan']","['menyenangkan', 'menyenangkan']",senang senang
2025-06-08 00:47:46,Pengguna Google,1,"udh tau player solo, dikasih tim aneh terus, tim oon. ngegendong mulu",udh tau player solo dikasih tim aneh terus tim oon ngegendong mulu,udh tau player solo dikasih tim aneh terus tim oon ngegendong mulu,sudah tau player solo dikasih tim aneh terus tim oon ngegendong mulu,"['sudah', 'tau', 'player', 'solo', 'dikasih', 'tim', 'aneh', 'terus', 'tim', 'oon', 'ngegendong', 'mulu']","['tau', 'player', 'solo', 'dikasih', 'tim', 'aneh', 'tim', 'oon', 'ngegendong', 'mulu']",tau player solo kasih tim aneh tim oon ngegendong mulu
2025-06-08 00:46:37,Pengguna Google,5,terimakasih mobile legend kamu udah menyelamatkan aku aku baru saja di putusin pacar tapi kara aku punya mobile legend aku memainkannya,terimakasih mobile legend kamu udah menyelamatkan aku aku baru saja di putusin pacar tapi kara aku punya mobile legend aku memainkannya,terimakasih mobile legend kamu udah menyelamatkan aku aku baru saja di putusin pacar tapi kara aku punya mobile legend aku memainkannya,terimakasih mobile legend kamu sudah menyelamatkan aku aku baru saja di putusin pacar tapi kara aku punya mobile legend aku memainkannya,"['terimakasih', 'mobile', 'legend', 'kamu', 'sudah', 'menyelamatkan', 'aku', 'aku', 'baru', 'saja', 'di', 'putusin', 'pacar', 'tapi', 'kara', 'aku', 'punya', 'mobile', 'legend', 'aku', 'memainkannya']","['terimakasih', 'mobile', 'legend', 'menyelamatkan', 'putusin', 'pacar', 'kara', 'mobile', 'legend', 'memainkannya']",terimakasih mobile legend selamat putusin pacar kara mobile legend main
2025-06-08 00:46:17,Pengguna Google,5,bagus sekalih,bagus sekalih,bagus sekalih,bagus sekalih,"['bagus', 'sekalih']","['bagus', 'sekalih']",bagus kalih
2025-06-08 00:45:33,Pengguna Google,5,no komen,no komen,no komen,no komen,"['no', 'komen']","['no', 'komen']",no komen
2025-06-08 00:45:26,Pengguna Google,4,gemnya bagus tapi gak ada pintunya kayak ff,gemnya bagus tapi gak ada pintunya kayak ff,gemnya bagus tapi gak ada pintunya kayak ff,gemnya bagus tapi tidak ada pintunya kayak ff,"['gemnya', 'bagus', 'tapi', 'tidak', 'ada', 'pintunya', 'kayak', 'ff']","['gemnya', 'bagus', 'pintunya', 'kayak', 'ff']",gemnya bagus pintu kayak ff
2025-06-08 00:44:00,Pengguna Google,4,game cocok banget dan menantang tapi mau nya dapat viktory,game cocok banget dan menantang tapi mau nya dapat viktory,game cocok banget dan menantang tapi mau nya dapat viktory,game cocok banget dan menantang tapi mau ya dapat viktory,"['game', 'cocok', 'banget', 'dan', 'menantang', 'tapi', 'mau', 'ya', 'dapat', 'viktory']","['game', 'cocok', 'banget', 'menantang', 'ya', 'viktory']",game cocok banget tantang ya viktory
2025-06-08 00:43:26,Pengguna Google,1,jangan main nanti stress,jangan main nanti stress,jangan main nanti stress,jangan main nanti stres,"['jangan', 'main', 'nanti', 'stres']","['main', 'stres']",main stres
2025-06-08 00:42:06,Pengguna Google,1,dark system,dark system,dark system,dark system,"['dark', 'system']","['dark', 'system']",dark system
